time (s),Frequency (Hz),Flux (mJy),Flux error
83273.02948183633,545000000000000.0,8.078972585154912e-06,9.941549777616442e-07
120013.55815417189,545000000000000.0,3.0061801890139957e-06,2.2089406809578577e-07
172964.21458962845,545000000000000.0,1.075086281485535e-06,2.2827548750195584e-07
249276.99827194138,545000000000000.0,3.7081164937566835e-07,4.837531643772991e-08
359259.41105736414,545000000000000.0,1.3027738316757552e-07,9.262894864945501e-09
517766.682558019,545000000000000.0,5.032525264542926e-08,6.444054155766704e-09
746208.253189868,545000000000000.0,2.27711779275047e-08,3.5235029585215276e-09
1075439.528819584,545000000000000.0,8.028855945999103e-09,8.35396164806436e-10
1549929.4938157229,545000000000000.0,3.306574927728009e-09,4.847844411891492e-10
2233767.0984036056,545000000000000.0,1.6420721127349993e-09,1.890628090428792e-11
3219317.6978821396,545000000000000.0,6.383529496078351e-10,4.7073475469497106e-11
4639698.761479632,545000000000000.0,2.765079840453796e-10,4.155669803879391e-11
6686759.934080832,545000000000000.0,1.628384450578505e-10,1.4102156315270122e-11
9636996.002251137,545000000000000.0,6.476965390636014e-11,6.9288481459081124e-12
13888892.80652339,545000000000000.0,3.310850471840254e-11,3.953955496417733e-12
20016750.380101576,545000000000000.0,1.7233480643420466e-11,2.7524861454646405e-12
28848253.158891603,545000000000000.0,1.0155321332121589e-11,5.592659344372766e-13
41576264.6042089,545000000000000.0,4.962920542812306e-12,6.088452338562326e-13
59919946.24140365,545000000000000.0,2.946863754221292e-12,3.1410798240737836e-13
1.0,1.08e+18,0.005562656346922949,0.0008127091461134392
1.4412056208468973,1.08e+18,0.005308044611492304,0.0005321906648504578
2.0770736415606903,1.08e+18,0.00433926817752875,0.00041775316219852505
2.9934902071302005,1.08e+18,0.004256083737555064,0.0007203072610535791
4.314234912466188,1.08e+18,0.002560406481692761,0.00037653045158247825
6.217699605500191,1.08e+18,0.0020441872590474565,0.000426759392513279
8.960983620184411,1.08e+18,0.0014400431816588102,0.000161532878583684
12.914619961726748,1.08e+18,0.0009746344293986868,0.00015284494597444137
18.612622879942133,1.08e+18,0.0007255187539920915,0.00015089739249515052
26.82461671327616,1.08e+18,0.00044804824994887967,9.329836331731581e-05
38.65978838423723,1.08e+18,0.00034977578591615884,7.094108402718604e-05
55.7167043201143,1.08e+18,0.00022299087949289806,2.203268922879259e-05
80.29922744121332,1.08e+18,0.0001377060986067343,2.3076892396484654e-05
115.72769793794001,1.08e+18,8.293709903686994e-05,1.4297974238532669e-05
166.787408755831,1.08e+18,5.7026214865334644e-05,1.1708284854810918e-05
240.3749509853928,1.08e+18,3.522885518861371e-05,5.468643956118268e-06
346.4297304709454,1.08e+18,2.133920637960637e-05,4.633260780048486e-06
499.27647478320205,1.08e+18,1.3290668366350563e-05,2.0690064409509174e-06
719.5600618141748,1.08e+18,8.46025658684493e-06,1.122176641177635e-06
1037.0340056235302,1.08e+18,5.391321050274058e-06,9.227599380014739e-07
1494.5792379140041,1.08e+18,3.639832446309688e-06,5.757723099235954e-07
2153.9959984827346,1.08e+18,2.2384035157272957e-06,3.865474698562108e-07
3104.3511402950435,1.08e+18,1.396715047676022e-06,2.8109303641478826e-07
4474.008312475691,1.08e+18,8.252921915590456e-07,1.8795817701663194e-07
6447.965927655705,1.08e+18,5.827105773816191e-07,1.406722382970989e-07
9292.844737966678,1.08e+18,3.2956466384792696e-07,3.0236261147389616e-08
13392.900070015085,1.08e+18,2.0868448280474257e-07,2.969006314100125e-08
19301.92286034654,1.08e+18,1.4781492753992909e-07,3.116410613153376e-08
27818.03971948465,1.08e+18,8.2621347008348e-08,1.3608595867826774e-08
40091.51520466351,1.08e+18,4.5746887037413816e-08,1.1345483600943769e-08
57780.11706122998,1.08e+18,2.215815980846288e-08,2.1700285546740223e-09
83273.02948183633,1.08e+18,1.0477643287364537e-08,1.4829012331256837e-09
120013.55815417189,1.08e+18,3.2600623461721224e-09,3.9508131980746284e-10
172964.21458962845,1.08e+18,1.2261202661571694e-09,1.1354544608786983e-10
249276.99827194138,1.08e+18,3.957001617402388e-10,8.523061885814118e-11
359259.41105736414,1.08e+18,1.4854696983838505e-10,1.617781866493113e-11
517766.682558019,1.08e+18,5.054468474488316e-11,1.2770254621489839e-11
746208.253189868,1.08e+18,1.9439607417890106e-11,3.341145618823734e-12
1075439.528819584,1.08e+18,9.296982434924524e-12,1.5022729391889306e-12
1549929.4938157229,1.08e+18,3.953341020838184e-12,5.096610212999046e-13
2233767.0984036056,1.08e+18,2.114508373511956e-12,3.5168408117735427e-13
3219317.6978821396,1.08e+18,8.578872815873019e-13,1.5654977160481125e-13
4639698.761479632,1.08e+18,4.964222347084199e-13,3.431738785351288e-14
6686759.934080832,1.08e+18,2.212896393288125e-13,1.9368442295923066e-14
9636996.002251137,1.08e+18,1.2002564976717588e-13,1.7882371257702093e-14
13888892.80652339,1.08e+18,8.268491510259723e-14,1.301627250722405e-14
20016750.380101576,1.08e+18,4.7821945906887537e-14,6.454817634180591e-15
28848253.158891603,1.08e+18,2.4692805343594706e-14,3.664269127463452e-15
41576264.6042089,1.08e+18,1.527796126633361e-14,1.520474612380336e-15
59919946.24140365,1.08e+18,9.299637590523383e-15,1.1359798991958569e-15
